mortalit,sex,icd10,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,T,TOTAL,RT,LT	597.92 	586.29 	575.05 	542.21 	552.22 	536.85 	487.31 p
TOTAL,T,TOTAL,RT,LU	231.64 	226.95 	229.17 	210.99 	203.57 	209.31 	203.88 p
TOTAL,T,TOTAL,RT,LV	603.54 	588.28 	578.77 	554.68 	545.22 	532.27 	520.6 p
TOTAL,T,TOTAL,RT,MT	240.75 	239.33 	209.74 	215.6 	200.62 	202.5 	207.34 p
TOTAL,T,TOTAL,RT,NL	219.76 	217.69 	209.85 	200.4 	205.46 	202.41 	194.7 p
TOTAL,T,TOTAL,RT,NO	218.53 	210.37 	206.49 	194.51 	192.04 	191.44 	182.06 p
TOTAL,T,TOTAL,RT,PL	392.62 	386.76 	375.84 	353.66 	351.2 	346.55 	355.48 p
TOTAL,T,TOTAL,RT,PT	242.76 	235.09 	230.23 	232.09 	227.46 	227.85 	221.97 p
TOTAL,T,TOTAL,RT,RO	559.32 	548.45 	525.26 	522.88 	519.24 	514.46 	512.27 p
TOTAL,T,TOTAL,RT,RS	435.79 	424.66 	409.74 	400.41 	415.95 	406.59 	409.39 p
TOTAL,T,TOTAL,RT,SE	204.15 	200.6 	200.44 	193.78 	192.12 	188.03 	184.57 p
TOTAL,T,TOTAL,RT,SI	308.89 	297.24 	294.28 	277.31 	284.42 	263.22 	266.83 p
TOTAL,T,TOTAL,RT,SK	461.18 	457.74 	443.73 	423.14 	434.68 	411.68 	416.9 p
TOTAL,T,TOTAL,RT,TR	305.59 	292.05 	333.48 	329.34 	323.39 	325.51 	317.23 p
TOTAL,T,TOTAL,RT,UK	251.77 	247 	243.19 	239.06 	241.22 	242.32 	240.65 p
TRT,T,TOTAL,RT,AT	81.28 	79.89 	78.75 	77.66 	79.02 	77.8 	76.74 p
TRT,T,TOTAL,RT,BE	82.31 	82.04 	81.65 	74.86 	73.93 	71.5 	71.55 p
TRT,T,TOTAL,RT,BG	195.09 	206.11 	192.83 	200.79 	197.45 	194.35 	192.07 p
TRT,T,TOTAL,RT,CH	62.46 	59.66 	57.62 	56.3 	55.81 	52.7 	52.15 p
TRT,T,TOTAL,RT,CY	79.15 	84.24 	74.06 	73.46 	79.6 	71.21 	74.76 p
TRT,T,TOTAL,RT,CZ	147.74 	145.47 	142.95 	131.86 	135.29 	128.2 	128.47 p
TRT,T,TOTAL,RT,DE	94.48 	92 	91.54 	87.42 	89.37 	86.92 	85.78 p
TRT,T,TOTAL,RT,DK	91.23 	86.9 	80.42 	78.03 	77.81 	76.03 	73.47 p
TRT,T,TOTAL,RT,EE	160.97 	162.69 	154.29 	152.33 	148.24 	142.98 	137.52 p
TRT,T,TOTAL,RT,EL	94.15 	96.36 	91.13 	94.51 	96.65 	94.93 	94.88 p
TRT,T,TOTAL,RT,ES	74.24 	72.53 	70.49 	68.46 	68.33 	66.84 	66.16 p
TRT,T,TOTAL,RT,EU27_2020	103.39 	101.73 	98.65 	94.83 	95.85 	93.16 	: 
TRT,T,TOTAL,RT,EU28	102.32 	100.63 	97.62 	94.05 	95.09 	92.79 	: 
TRT,T,TOTAL,RT,FI	86.49 	84.97 	80.46 	77.36 	74.89 	76.81 	76.81 p
TRT,T,TOTAL,RT,FR	67.64 	66.06 	65.08 	62.9 	62.86 	62.54 	: 
